indicator,nonnull_cells
Ores and metals imports (% of merchandise imports),88
Fuel exports (% of merchandise exports),88
Deposit interest rate (%),87
"Immunization, DPT (% of children ages 12-23 months)",87
Changes in inventories (current LCU),87
Changes in inventories (current US$),87
Adjusted savings: natural resources depletion (% of GNI),85
Adjusted savings: energy depletion (% of GNI),85
"Manufacturing, value added (current US$)",85
Adjusted net national income (current US$),85
Adjusted savings: mineral depletion (% of GNI),85
"Manufacturing, value added (current LCU)",85
"Manufacturing, value added (% of GDP)",85
Adjusted net national income per capita (current US$),85
Lending interest rate (%),85
Real interest rate (%),85
Adjusted savings: net forest depletion (% of GNI),85
"Immunization, measles (% of children ages 12-23 months)",85
Adjusted savings: consumption of fixed capital (% of GNI),85
Adjusted savings: education expenditure (current US$),85
"Interest rate spread (lending rate minus deposit rate, %)",84
"School enrollment, preprimary (% gross)",83
"School enrollment, tertiary (% gross)",83
Newborns protected against tetanus (%),82
"School enrollment, primary, female (% gross)",81
"School enrollment, primary, male (% gross)",81
"Pupil-teacher ratio, primary",81
"Primary income payments (BoP, current US$)",80
"Service exports (BoP, current US$)",80
Commercial service exports (current US$),80
"Net official flows from UN agencies, UNTA (current US$)",80
Gross savings (current US$),80
"Exports of goods and services (BoP, current US$)",80
Gross value added at basic prices (GVA) (current LCU),80
"Secondary income receipts (BoP, current US$)",80
"Net secondary income (BoP, current US$)",80
"Service imports (BoP, current US$)",80
Trade in services (% of GDP),80
"Net primary income (BoP, current US$)",80
"Goods imports (BoP, current US$)",80
Gross savings (% of GNI),80
Commercial service imports (current US$),80
Gross savings (current LCU),80
Taxes less subsidies on products (current US$),80
"Goods exports (BoP, current US$)",80
Current account balance (% of GDP),80
"Reserves and related items (BoP, current US$)",80
"Foreign direct investment, net (BoP, current US$)",80
"Imports of goods and services (BoP, current US$)",80
"Net errors and omissions (BoP, current US$)",80
"Net financial account (BoP, current US$)",80
Gross value added at basic prices (GVA) (current US$),80
Gross savings (% of GDP),80
"Current account balance (BoP, current US$)",80
"Net trade in goods (BoP, current US$)",80
"Net trade in goods and services (BoP, current US$)",80
"Exports of goods, services and primary income (BoP, current US$)",80
"Imports of goods, services and primary income (BoP, current US$)",80
Taxes less subsidies on products (current LCU),80
"Primary income receipts (BoP, current US$)",80
Total reserves in months of imports,80
