Country,DisasterType,Year,Deaths,Affected
Viet Nam,Flood,2017,8.0,41500.0
Viet Nam,Flood,2018,14.0,105000.0
Viet Nam,Flood,2019,19.0,1500.0
Viet Nam,Flood,2019,10.0,36450.0
Malaysia,Flood,2019,2.0,15000.0
Malaysia,Flood,2019,,4065.0
Viet Nam,Storm,2020,3.0,30013.0
Viet Nam,Flood,2020,5.0,2621.0
Viet Nam,Storm,2020,2.0,10000.0
Viet Nam,Storm,2020,2.0,70780.0
Viet Nam,Storm,2020,41.0,450000.0
Viet Nam,Mass movement (wet),2000,33.0,22.0
Viet Nam,Flood,2021,3.0,180.0
Malaysia,Flood,2021,,1000.0
Viet Nam,Flood,2021,3.0,13603.0
Viet Nam,Flood,2021,18.0,300000.0
Viet Nam,Storm,2021,3.0,
Malaysia,Flood,2022,6.0,26000.0
Viet Nam,Storm,2022,19.0,436978.0
Malaysia,Flood,2022,8.0,60000.0
Viet Nam,Storm,2000,3.0,129.0
Viet Nam,Storm,2000,,2005.0
Viet Nam,Storm,2000,,5730.0
Viet Nam,Storm,2000,5.0,6029.0
Viet Nam,Flood,2001,,3000.0
Viet Nam,Storm,2001,30.0,117453.0
Viet Nam,Flood,2001,9.0,175.0
Viet Nam,Flood,2001,310.0,1570270.0
Viet Nam,Storm,2001,20.0,73183.0
Viet Nam,Flood,2002,10.0,2000.0
Viet Nam,Drought,2002,,1300000.0
Viet Nam,Flood,2003,61.0,194049.0
Viet Nam,Flood,2003,15.0,1000.0
Malaysia,Flood,2003,3.0,13800.0
Malaysia,Flood,2004,,9138.0
Viet Nam,Storm,2004,14.0,905.0
Viet Nam,Flood,2004,9.0,5000.0
Malaysia,Flood,2004,13.0,15000.0
Viet Nam,Flood,2004,34.0,30000.0
Malaysia,Wildfire,2005,,
Viet Nam,Storm,2005,20.0,15000.0
Viet Nam,Storm,2006,1.0,1005.0
Viet Nam,Storm,2006,13.0,
Viet Nam,Flood,2006,60.0,
Viet Nam,Flood,2007,74.0,416130.0
Viet Nam,Storm,2007,96.0,685430.0
Viet Nam,Flood,2007,3.0,280000.0
Viet Nam,Storm,2008,18.0,31680.0
Malaysia,Flood,2008,,2000.0
Viet Nam,Flood,2008,29.0,12004.0
Viet Nam,Flood,2008,99.0,600000.0
Viet Nam,Storm,2009,182.0,2477315.0
Malaysia,Flood,2009,,9082.0
Viet Nam,Flood,2010,50.0,10000.0
Viet Nam,Flood,2011,24.0,300000.0
Viet Nam,Flood,2011,13.0,461584.0
Viet Nam,Storm,2012,17.0,60479.0
Viet Nam,Flood,2012,34.0,17540.0
Viet Nam,Storm,2013,16.0,13094.0
Viet Nam,Flood,2015,32.0,15000.0
Viet Nam,Drought,2015,,1750000.0
Malaysia,Flood,2016,,6000.0
Viet Nam,Storm,2010,11.0,1500.0
Viet Nam,Storm,2010,10.0,12400.0
Viet Nam,Flood,2010,21.0,761000.0
Viet Nam,Flood,2010,31.0,39008.0
Viet Nam,Storm,2011,,
Viet Nam,Storm,2012,10.0,3.0
Viet Nam,Storm,2012,11.0,278490.0
Viet Nam,Flood,2013,30.0,
Viet Nam,Flood,2013,23.0,
Viet Nam,Storm,2013,7.0,5011.0
Viet Nam,Flood,2013,7.0,25000.0
Viet Nam,Flood,2013,47.0,2130001.0
Viet Nam,Storm,2014,27.0,36000.0
Viet Nam,Storm,2014,11.0,11325.0
Malaysia,Flood,2014,17.0,230000.0
Viet Nam,Storm,2015,11.0,
Viet Nam,Storm,2016,34.0,610000.0
Viet Nam,Storm,2016,25.0,182500.0
Viet Nam,Flood,2016,21.0,206340.0
Malaysia,Flood,2017,,5481.0
Viet Nam,Flood,2017,75.0,40038.0
Malaysia,Flood,2017,7.0,3500.0
Malaysia,Flood,2019,,1000.0
Malaysia,Flood,2019,,2412.0
Viet Nam,Storm,2019,3.0,2150.0
Viet Nam,Storm,2020,6.0,125000.0
Viet Nam,Storm,2020,,
Viet Nam,Storm,2020,2.0,5000.0
Malaysia,Flood,2021,,5782.0
Viet Nam,Storm,2021,5.0,82500.0
Malaysia,Flood,2021,56.0,120000.0
Viet Nam,Flood,2022,13.0,2554.0
Malaysia,Flood,2008,,6000.0
Viet Nam,Flood,2008,16.0,
Viet Nam,Storm,2008,162.0,57630.0
Malaysia,Flood,2007,29.0,29000.0
Viet Nam,Flood,2007,15.0,22000.0
Viet Nam,Storm,2006,95.0,1226360.0
Viet Nam,Flood,2006,4.0,100.0
Viet Nam,Storm,2006,71.0,1467925.0
Viet Nam,Flood,2006,60.0,
Viet Nam,Flood,2006,12.0,2000.0
Viet Nam,Storm,2006,17.0,2000.0
Viet Nam,Storm,2006,204.0,600000.0
Viet Nam,Flood,2005,39.0,30000.0
Viet Nam,Storm,2005,8.0,8500.0
Viet Nam,Storm,2005,75.0,337660.0
Viet Nam,Storm,2005,13.0,6500.0
Viet Nam,Storm,2004,56.0,500000.0
Malaysia,Flood,2003,5.0,3000.0
Viet Nam,Flood,2009,17.0,40000.0
Viet Nam,Storm,2002,,1800.0
Viet Nam,Flood,2001,20.0,35006.0
Malaysia,Flood,2001,,10000.0
Viet Nam,Storm,2001,3.0,10003.0
